Clock_rate=1400 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  237.3     3322.5  Chosen kgemm
  209.2     2928.6  Generated kgemm
  172.4     2412.9  kgemmNT
  172.1     2408.8  kgemmTN
   72.1     1009.3  kgemvN
   71.7     1003.5  kgemvT
   47.0      658.2  kger
   42.3      591.8  N=1600 GEMM
