Clock_rate=3392 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  692.8    23501.3  Chosen kgemm
  194.4     6594.9  Generated kgemm
  177.4     6018.6  kgemmNT
  190.5     6462.9  kgemmTN
  163.0     5527.9  kgemvN
  170.7     5788.7  kgemvT
  162.1     5499.2  kger
  676.6    22950.3  N=1600 GEMM
