Clock_rate=2394 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  336.2     8048.7  Chosen kgemm
  150.5     3603.7  Generated kgemm
  125.8     3011.9  kgemmNT
  130.8     3130.5  kgemmTN
   44.2     1058.0  kgemvN
   46.3     1109.1  kgemvT
   21.9      523.8  kger
  320.2     7665.7  N=1600 GEMM
