Clock_rate=498 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
   75.3      375.0  Chosen kgemm
   66.3      330.1  Generated kgemm
   54.6      272.1  kgemmNT
   58.8      292.8  kgemmTN
   34.7      172.6  kgemvN
   37.2      185.1  kgemvT
   19.9       98.9  kger
   78.3      389.8  N=1400 GEMM
