Clock_rate=1000 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
   75.0     1513.3  Chosen kgemm
   51.4     1037.2  Generated kgemm
   39.2      789.5  kgemmNT
   38.9      783.7  kgemmTN
    7.8      158.0  kgemvN
    7.5      150.7  kgemvT
    6.4      129.8  kger
  130.7     1307.0  N=1600 GEMM
