Clock_rate=1000 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
   69.4     1400.3  Chosen kgemm
   54.7     1103.9  Generated kgemm
   40.1      809.3  kgemmNT
   38.4      774.8  kgemmTN
   15.9      320.0  kgemvN
   15.6      314.6  kgemvT
    8.9      180.5  kger
  131.6     1316.4  N=1600 GEMM
