Clock_rate=0 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
   67.8      683.9  Chosen kgemm
   55.0      554.6  Generated kgemm
   40.6      409.3  kgemmNT
   53.1      535.5  kgemmTN
    6.1       62.0  kgemvN
    7.1       71.7  kgemvT
    5.3       53.7  kger
   71.4      714.4  N=1600 GEMM
