Clock_rate=1608 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  134.6     2164.8  Chosen kgemm
  113.0     1816.3  Generated kgemm
   97.0     1560.3  kgemmNT
   96.9     1558.8  kgemmTN
   46.4      746.3  kgemvN
   52.5      844.3  kgemvT
   29.9      481.1  kger
  139.1     2237.0  N=1600 GEMM
