Clock_rate=4007 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
 1046.7    41940.7  Chosen kgemm
  358.3    14357.3  Generated kgemm
  359.1    14389.6  kgemmNT
  362.8    14538.0  kgemmTN
  248.6     9960.3  kgemvN
  262.4    10515.3  kgemvT
  199.2     7983.2  kger
 1092.2    43763.6  N=1600 GEMM
