Clock_rate=0 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  115.8      781.3  Chosen kgemm
  115.8      781.3  Generated kgemm
  114.8      775.0  kgemmNT
  115.8      781.6  kgemmTN
   60.4      407.6  kgemvN
   67.6      456.1  kgemvT
   33.8      228.4  kger
  193.2      773.0  N=1600 GEMM
