Clock_rate=2400 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  334.9     8037.3  Chosen kgemm
  160.0     3839.9  Generated kgemm
  159.9     3837.3  kgemmNT
  157.5     3780.6  kgemmTN
   72.4     1736.6  kgemvN
   71.8     1722.6  kgemvT
   62.3     1494.7  kger
  319.0     7656.5  N=1600 GEMM
