Clock_rate=0 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  123.7     9908.1  Chosen kgemm
   69.3     5548.4  Generated kgemm
   51.2     4098.0  kgemmNT
   60.6     4852.4  kgemmTN
   27.1     2168.5  kgemvN
   24.6     1969.1  kgemvT
   17.4     1396.2  kger
  592.2    11844.9  N=1600 GEMM
