Clock_rate=0 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  119.7     4261.8  Chosen kgemm
   43.6     1552.7  Generated kgemm
   40.5     1441.0  kgemmNT
    9.0      321.0  kgemmTN
   34.5     1227.1  kgemvN
    7.4      263.0  kgemvT
   51.7     1840.1  kger
  375.7     4132.2  N=1600 GEMM
