Clock_rate=2247 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  334.4     7513.6  Chosen kgemm
  159.2     3577.6  Generated kgemm
  132.8     2984.8  kgemmNT
  146.5     3291.9  kgemmTN
  138.8     3119.8  kgemvN
  143.2     3217.0  kgemvT
   91.1     2046.6  kger
  329.3     7400.3  N=1600 GEMM
