Clock_rate=0 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  240.2    18929.4  Chosen kgemm
  129.3    10193.9  Generated kgemm
  127.9    10080.8  kgemmNT
  129.2    10184.2  kgemmTN
   28.9     2274.4  kgemvN
   28.5     2245.0  kgemvT
   17.5     1377.5  kger
  575.5    17263.9  N=1600 GEMM
