Clock_rate=2899 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  658.9    19101.0  Chosen kgemm
  185.4     5375.2  Generated kgemm
  166.7     4831.6  kgemmNT
  179.4     5200.9  kgemmTN
  255.9     7418.9  kgemvN
  266.1     7715.6  kgemvT
  197.4     5722.2  kger
  683.1    19802.5  N=1600 GEMM
