Clock_rate=3120 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  735.2    22936.7  Chosen kgemm
  265.3     8276.1  Generated kgemm
  263.4     8219.5  kgemmNT
  274.2     8554.3  kgemmTN
  210.7     6574.5  kgemvN
  217.3     6778.4  kgemvT
  100.6     3138.2  kger
  717.3    22379.1  N=1600 GEMM
