Clock_rate=1100 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
   64.7      712.0  Chosen kgemm
   58.7      646.0  Generated kgemm
   21.6      237.6  kgemmNT
   20.8      228.5  kgemmTN
   46.6      512.6  kgemvN
   61.2      672.8  kgemvT
   50.4      554.3  kger
   77.1      848.5  N=1600 GEMM
