Clock_rate=3292 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  778.8    25637.0  Chosen kgemm
  200.0     6585.2  Generated kgemm
  196.9     6481.8  kgemmNT
  196.1     6456.4  kgemmTN
  220.4     7256.3  kgemvN
  220.7     7265.7  kgemvT
  144.9     4770.2  kger
  740.7    24383.9  N=1600 GEMM
