Clock_rate=2800 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  166.7     4668.6  Chosen kgemm
   90.6     2535.7  Generated kgemm
   66.9     1873.1  kgemmNT
   83.4     2336.5  kgemmTN
   48.3     1352.5  kgemvN
   57.8     1617.1  kgemvT
   34.3      959.6  kger
  161.6     4525.7  N=1600 GEMM
