Clock_rate=1350 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  176.1     2377.6  Chosen kgemm
  142.8     1928.3  Generated kgemm
  145.7     1967.6  kgemmNT
  149.3     2015.5  kgemmTN
   24.6      331.7  kgemvN
    9.9      133.4  kgemvT
   19.8      266.8  kger
  163.1     2202.1  N=1600 GEMM
