Clock_rate=3300 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  247.5     8168.0  Chosen kgemm
  102.9     3396.1  Generated kgemm
  104.0     3433.2  kgemmNT
  112.0     3694.7  kgemmTN
  172.0     5675.3  kgemvN
  180.2     5946.8  kgemvT
  126.2     4163.3  kger
  352.0    11614.8  N=1600 GEMM
